date,symbol,bb_bandwidth
2026-08-08 00:00:00,PHOENIXLTD,0.1776
2026-08-08 00:00:00,PICCADIL,0.0891
2026-08-08 00:00:00,PIDILITIND,0.1072
2026-08-08 00:00:00,PIIND,0.1181
2026-08-08 00:00:00,PNB,0.1158
2026-08-08 00:00:00,PNBHOUSING,0.1161
2026-08-08 00:00:00,PNCINFRA,0.1134
2026-08-08 00:00:00,PNGJL,0.2117
2026-08-08 00:00:00,POLICYBZR,0.0767
2026-08-08 00:00:00,POLYCAB,0.0801
2026-08-08 00:00:00,POLYMED,0.0674
2026-08-08 00:00:00,POONAWALLA,0.0697
2026-08-08 00:00:00,POWERGRID,0.0731
2026-08-08 00:00:00,POWERINDIA,0.0882
2026-08-08 00:00:00,POWERMECH,0.068
2026-08-08 00:00:00,PPLPHARMA,0.27
2026-08-08 00:00:00,PRAJIND,0.2074
2026-08-08 00:00:00,PREMIERENE,0.1332
2026-08-08 00:00:00,PRESTIGE,0.1115
2026-08-08 00:00:00,PRICOLLTD,0.3478
2026-08-08 00:00:00,PRIVISCL,0.0442
2026-08-08 00:00:00,PRSMJOHNSN,0.0877
2026-08-08 00:00:00,PRUDENT,0.2623
2026-08-08 00:00:00,PTC,0.2682
2026-08-08 00:00:00,PTCIL,0.0738
2026-08-08 00:00:00,PURVA,0.1907
2026-08-08 00:00:00,PVRINOX,0.2604
2026-08-08 00:00:00,QPOWER,0.138
2026-08-08 00:00:00,QUESS,0.1925
2026-08-08 00:00:00,RADICO,0.1701
2026-08-08 00:00:00,RAILTEL,0.0911
2026-08-08 00:00:00,RAIN,0.1925
2026-08-08 00:00:00,RAINBOW,0.1087
2026-08-08 00:00:00,RALLIS,0.1532
2026-08-08 00:00:00,RAMCOCEM,0.0493
2026-08-08 00:00:00,RATEGAIN,0.1314
2026-08-08 00:00:00,RATNAMANI,0.1935
2026-08-08 00:00:00,RAYMONDLSL,0.075
2026-08-08 00:00:00,RBA,0.5169
2026-08-08 00:00:00,RBLBANK,0.1248
2026-08-08 00:00:00,RCF,0.0528
2026-08-08 00:00:00,RECLTD,0.0962
2026-08-08 00:00:00,REDINGTON,0.4616
2026-08-08 00:00:00,REDTAPE,0.1172
2026-08-08 00:00:00,REFEX,0.1607
2026-08-08 00:00:00,RELAXO,0.175
2026-08-08 00:00:00,RELIANCE,0.061
2026-08-08 00:00:00,RELIGARE,0.1186
2026-08-08 00:00:00,RENUKA,0.0678
2026-08-08 00:00:00,RHIM,0.0782
